"i","N","p_hat"
86,4,0.000267773463649752
87,2,0.000133886731824876
88,2,0.000133886731824876
89,2,0.000133886731824876
91,2,0.000133886731824876
92,4,0.000267773463649752
93,3,0.000200830097737314
94,3,0.000200830097737314
95,2,0.000133886731824876
96,1,6.69433659124381e-05
97,3,0.000200830097737314
99,3,0.000200830097737314
100,1,6.69433659124381e-05
101,4,0.000267773463649752
102,5,0.00033471682956219
104,3,0.000200830097737314
105,3,0.000200830097737314
106,3,0.000200830097737314
107,3,0.000200830097737314
108,2,0.000133886731824876
109,8,0.000535546927299505
110,1,6.69433659124381e-05
111,6,0.000401660195474628
112,3,0.000200830097737314
113,3,0.000200830097737314
114,5,0.00033471682956219
115,4,0.000267773463649752
116,1,6.69433659124381e-05
117,4,0.000267773463649752
118,1,6.69433659124381e-05
119,3,0.000200830097737314
120,4,0.000267773463649752
121,2,0.000133886731824876
122,1,6.69433659124381e-05
123,4,0.000267773463649752
124,1,6.69433659124381e-05
125,3,0.000200830097737314
126,5,0.00033471682956219
127,2,0.000133886731824876
128,4,0.000267773463649752
129,5,0.00033471682956219
130,1,6.69433659124381e-05
131,6,0.000401660195474628
132,1,6.69433659124381e-05
133,1,6.69433659124381e-05
134,3,0.000200830097737314
135,5,0.00033471682956219
136,4,0.000267773463649752
137,4,0.000267773463649752
138,6,0.000401660195474628
139,5,0.00033471682956219
140,2,0.000133886731824876
141,6,0.000401660195474628
142,6,0.000401660195474628
143,4,0.000267773463649752
144,7,0.000468603561387067
145,2,0.000133886731824876
146,3,0.000200830097737314
147,5,0.00033471682956219
148,2,0.000133886731824876
149,1,6.69433659124381e-05
150,1,6.69433659124381e-05
151,2,0.000133886731824876
152,4,0.000267773463649752
153,4,0.000267773463649752
154,4,0.000267773463649752
155,1,6.69433659124381e-05
156,3,0.000200830097737314
157,5,0.00033471682956219
158,3,0.000200830097737314
159,6,0.000401660195474628
160,5,0.00033471682956219
161,3,0.000200830097737314
162,5,0.00033471682956219
163,2,0.000133886731824876
164,2,0.000133886731824876
165,4,0.000267773463649752
166,3,0.000200830097737314
167,2,0.000133886731824876
168,4,0.000267773463649752
169,4,0.000267773463649752
